# weight[i] (1/Å)  momenta[i] (1/Å)  momenta[j] (1/Å)  v_0[i, j] (K•Å^3)  v_1[i, j] (K•Å^3)
2.94076955e-04  1.14585593e-04  1.21372832e+00  -9.64164271e+02  -8.94949344e-01
2.94076955e-04  1.14585593e-04  1.26228311e+00  -9.19763387e+02  -9.62719321e-01
2.94076955e-04  1.14585593e-04  1.31234368e+00  -8.73906734e+02  -1.03350309e+00
2.94076955e-04  1.14585593e-04  1.36394997e+00  -8.26619389e+02  -1.10687424e+00
2.94076955e-04  1.14585593e-04  1.41714270e+00  -7.77942191e+02  -1.18219307e+00
2.94076955e-04  1.14585593e-04  1.47196344e+00  -7.27937832e+02  -1.25854735e+00
2.94076955e-04  1.14585593e-04  1.52845450e+00  -6.76698816e+02  -1.33468313e+00
2.94076955e-04  1.14585593e-04  1.58665903e+00  -6.24357485e+02  -1.40892753e+00
2.94076955e-04  1.14585593e-04  1.64662091e+00  -5.71098221e+02  -1.47910832e+00
2.94076955e-04  1.14585593e-04  1.70838477e+00  -5.17171563e+02  -1.54247969e+00
2.94076955e-04  1.14585593e-04  1.77199600e+00  -4.62909568e+02  -1.59567019e+00
2.94076955e-04  1.14585593e-04  1.83750065e+00  -4.08740943e+02  -1.63467777e+00
2.94076955e-04  1.14585593e-04  1.90494548e+00  -3.55203487e+02  -1.65494776e+00
2.94076955e-04  1.14585593e-04  1.97437788e+00  -3.02950137e+02  -1.65158009e+00
2.94076955e-04  1.14585593e-04  2.04584586e+00  -2.52743583e+02  -1.61971829e+00
2.94076955e-04  1.14585593e-04  2.11939800e+00  -2.05433481e+02  -1.55516650e+00
2.94076955e-04  1.14585593e-04  2.19508345e+00  -1.61910478e+02  -1.45524964e+00
2.94076955e-04  1.14585593e-04  2.27295181e+00  -1.23033449e+02  -1.31986259e+00
2.94076955e-04  1.14585593e-04  2.35305316e+00  -8.95318142e+01  -1.15253756e+00
2.94076955e-04  1.14585593e-04  2.43543798e+00  -6.18936647e+01  -9.61207853e-01
2.94076955e-04  1.14585593e-04  2.52015707e+00  -4.02617076e+01  -7.58214211e-01
2.94076955e-04  1.14585593e-04  2.60726154e+00  -2.43683744e+01  -5.59098260e-01
2.94076955e-04  1.14585593e-04  2.69680271e+00  -1.35422572e+01  -3.79994926e-01
2.94076955e-04  1.14585593e-04  2.78883206e+00  -6.80337270e+00  -2.34041865e-01
2.94076955e-04  1.14585593e-04  2.88340114e+00  -3.03392593e+00  -1.27994083e-01
2.94076955e-04  1.14585593e-04  2.98056153e+00  -1.17558978e+00  -6.06541458e-02
2.94076955e-04  1.14585593e-04  3.08036470e+00  -3.85986940e-01  -2.41882456e-02
2.94076955e-04  1.14585593e-04  3.18286199e+00  -1.04236813e-01  -7.83848954e-03
2.94076955e-04  1.14585593e-04  3.28810447e+00  -2.23368707e-02  -1.97972093e-03
2.94076955e-04  1.14585593e-04  3.39614288e+00  -3.63464822e-03  -3.70751411e-04
2.94076955e-04  1.14585593e-04  3.50702747e+00  -4.25150846e-04  -4.85174727e-05
2.94076955e-04  1.14585593e-04  3.62080798e+00  -3.33826063e-05  -4.13425270e-06
2.94076955e-04  1.14585593e-04  3.73753344e+00  -1.61642896e-06  -2.10945218e-07
2.94076955e-04  1.14585593e-04  3.85725213e+00  -4.35332937e-08  -5.83484783e-09
2.94076955e-04  1.14585593e-04  3.98001141e+00  -5.76431088e-10  -7.77722243e-11
2.94076955e-04  1.14585593e-04  4.10585758e+00  -3.24480116e-12  -4.34565778e-13
2.94076955e-04  1.14585593e-04  4.23483580e+00  -6.54998965e-15  -8.63521521e-16
2.94076955e-04  1.14585593e-04  4.36698993e+00  -3.88702186e-18  -5.02598657e-19
2.94076955e-04  1.14585593e-04  4.50236235e+00  -5.37723387e-22  -6.81854463e-23
2.94076955e-04  1.14585593e-04  4.64099387e+00  -1.32228166e-26  -1.64835071e-27
2.94076955e-04  1.14585593e-04  4.78292353e+00  -4.20976757e-32  -5.18068417e-33
2.94076955e-04  1.14585593e-04  4.92818849e+00  -1.19795901e-38  -1.46303240e-39
2.94076955e-04  1.14585593e-04  5.07682381e+00  -1.97638991e-46  -2.40942288e-47
2.94076955e-04  1.14585593e-04  5.22886232e+00  -1.14058278e-55  -1.39656449e-56
2.94076955e-04  1.14585593e-04  5.38433445e+00  -1.27773089e-66  -1.58106347e-67
2.94076955e-04  1.14585593e-04  5.54326804e+00  -1.39998982e-79  -1.76131089e-80
2.94076955e-04  1.14585593e-04  5.70568817e+00  -6.76492569e-95  -8.70347482e-96
2.94076955e-04  1.14585593e-04  5.87161696e+00  -5.72222914e-113  -7.56981673e-114
2.94076955e-04  1.14585593e-04  6.04107342e+00  -2.90625393e-134  -3.97323277e-135
2.94076955e-04  1.14585593e-04  6.21407322e+00  -2.57288286e-159  -3.65198562e-160
2.94076955e-04  1.14585593e-04  6.39062854e+00  -9.52994592e-189  -1.41026504e-189
2.94076955e-04  1.14585593e-04  6.57074782e+00  -2.85557552e-223  -4.42173502e-224
2.94076955e-04  1.14585593e-04  6.75443563e+00  -1.04721395e-263  -1.70211908e-264
2.94076955e-04  1.14585593e-04  6.94169244e+00  -5.38710902e-311  -9.21530604e-312
2.94076955e-04  1.14585593e-04  7.13251443e+00  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  7.32689329e+00  0.00000000e+00  0.00000000e+00
