# weight[i] (1/Å)  momenta[i] (1/Å)  momenta[j] (1/Å)  v_0[i, j] (K•Å^3)  v_1[i, j] (K•Å^3)
1.94424871e-04  7.57581346e-05  7.15587470e-01  -6.33632619e-01  3.69091894e-01
1.94424871e-04  7.57581346e-05  7.40594041e-01  -2.17793590e-01  3.18158599e-01
1.94424871e-04  7.57581346e-05  7.66181457e-01  4.12832171e-02  2.61612736e-01
1.94424871e-04  7.57581346e-05  7.92358148e-01  1.69573788e-01  2.03314383e-01
1.94424871e-04  7.57581346e-05  8.19132550e-01  2.01718975e-01  1.47710600e-01
1.94424871e-04  7.57581346e-05  8.46513092e-01  1.75471106e-01  9.90269453e-02
1.94424871e-04  7.57581346e-05  8.74508182e-01  1.24911476e-01  6.03296901e-02
1.94424871e-04  7.57581346e-05  9.03126201e-01  7.46866204e-02  3.28007398e-02
1.94424871e-04  7.57581346e-05  9.32375486e-01  3.74780546e-02  1.55794076e-02
1.94424871e-04  7.57581346e-05  9.62264322e-01  1.55661427e-02  6.30439423e-03
1.94424871e-04  7.57581346e-05  9.92800924e-01  5.23133357e-03  2.11045472e-03
1.94424871e-04  7.57581346e-05  1.02399343e+00  1.38037987e-03  5.64629278e-04
1.94424871e-04  7.57581346e-05  1.05584988e+00  2.75495118e-04  1.15949380e-04
1.94424871e-04  7.57581346e-05  1.08837820e+00  3.97563997e-05  1.74341503e-05
1.94424871e-04  7.57581346e-05  1.12158621e+00  3.93252481e-06  1.81658950e-06
1.94424871e-04  7.57581346e-05  1.15548156e+00  2.50380557e-07  1.23025217e-07
1.94424871e-04  7.57581346e-05  1.19007178e+00  9.53323770e-09  5.02611768e-09
1.94424871e-04  7.57581346e-05  1.22536418e+00  1.99224330e-10  1.13598406e-10
1.94424871e-04  7.57581346e-05  1.26136593e+00  2.06830250e-12  1.28474697e-12
1.94424871e-04  7.57581346e-05  1.29808395e+00  9.50294798e-15  6.47289666e-15
1.94424871e-04  7.57581346e-05  1.33552494e+00  1.69041339e-17  1.27020658e-17
1.94424871e-04  7.57581346e-05  1.37369538e+00  9.97555659e-21  8.31392710e-21
1.94424871e-04  7.57581346e-05  1.41260145e+00  1.63437630e-24  1.51805410e-24
1.94424871e-04  7.57581346e-05  1.45224905e+00  6.05646372e-29  6.29520529e-29
1.94424871e-04  7.57581346e-05  1.49264379e+00  4.01087729e-34  4.68118406e-34
1.94424871e-04  7.57581346e-05  1.53379093e+00  3.62271315e-40  4.75979287e-40
1.94424871e-04  7.57581346e-05  1.57569538e+00  3.27435297e-47  4.85095684e-47
1.94424871e-04  7.57581346e-05  1.61836169e+00  2.07815349e-55  3.47366388e-55
1.94424871e-04  7.57581346e-05  1.66179401e+00  6.17969802e-65  1.16479858e-64
1.94424871e-04  7.57581346e-05  1.70599606e+00  5.42705209e-76  1.15147102e-75
1.94424871e-04  7.57581346e-05  1.75097112e+00  8.32126025e-89  1.98134382e-88
1.94424871e-04  7.57581346e-05  1.79672201e+00  1.22525357e-103  3.25986479e-103
1.94424871e-04  7.57581346e-05  1.84325105e+00  8.78726752e-121  2.59793130e-120
1.94424871e-04  7.57581346e-05  1.89056004e+00  1.42160129e-140  4.63972190e-140
1.94424871e-04  7.57581346e-05  1.93865027e+00  2.17034568e-163  7.76190059e-163
