# R	glo	gnlo
1.9662113576083418	90471.85050417061	-5016.736839686883
1.8046049446542318	116258.97704280331	-5993.102712839126
1.6675463412627713	147288.31438548965	-7416.478774379999
1.4476501204369112	226787.05101644306	-11893.258764855289
1.2789918539782419	330671.13967153005	-18177.707019376576
1.2427939713184806	360818.4111607978	-20064.10076084069
1.1762157228549903	426339.58060455706	-24137.61186861816
